task,source_a,source_b,duration_ms,readout_noise_sd,accuracy_mean,accuracy_sem
same_source_exemplar_mean,all,,200.0,10.0,0.99462890625,0.0020047279041272782
different_source,white,light-pink,200.0,10.0,0.9986979166666666,0.0009345580241735316
different_source,white,pink,200.0,10.0,1.0,0.0
different_source,pink,brown,200.0,10.0,1.0,0.0
same_source_exemplar,white,,200.0,20.0,0.9231770833333334,0.010949451378542738
same_source_exemplar,light-pink,,200.0,20.0,0.95703125,0.014756032593209631
same_source_exemplar,pink,,200.0,20.0,0.9713541666666667,0.009337723510424951
same_source_exemplar,brown,,200.0,20.0,0.8938802083333333,0.02050375231444172
same_source_exemplar_mean,all,,200.0,20.0,0.9363606770833333,0.008774417417611136
different_source,white,light-pink,200.0,20.0,0.9878472222222223,0.0020608530393309006
different_source,white,pink,200.0,20.0,1.0,0.0
different_source,pink,brown,200.0,20.0,1.0,0.0
same_source_exemplar,white,,200.0,40.0,0.755859375,0.021097596191821583
same_source_exemplar,light-pink,,200.0,40.0,0.8216145833333334,0.01897777285339874
same_source_exemplar,pink,,200.0,40.0,0.8444010416666667,0.02095938198156985
same_source_exemplar,brown,,200.0,40.0,0.7259114583333333,0.02993477163634937
same_source_exemplar_mean,all,,200.0,40.0,0.7869466145833333,0.013963991921252911
different_source,white,light-pink,200.0,40.0,0.9253472222222222,0.006292382253551
different_source,white,pink,200.0,40.0,1.0,0.0
different_source,pink,brown,200.0,40.0,0.9991319444444443,0.000585242936166013
same_source_exemplar,white,,400.0,10.0,0.98828125,0.0060475328151074585
same_source_exemplar,light-pink,,400.0,10.0,0.9895833333333333,0.008293711610717248
same_source_exemplar,pink,,400.0,10.0,0.9759114583333333,0.01377775751084079
same_source_exemplar,brown,,400.0,10.0,0.9498697916666667,0.018854534062291255
same_source_exemplar_mean,all,,400.0,10.0,0.9759114583333334,0.006703904044218098
different_source,white,light-pink,400.0,10.0,0.9995659722222222,0.00043402777777778095
different_source,white,pink,400.0,10.0,1.0,0.0
different_source,pink,brown,400.0,10.0,1.0,0.0
same_source_exemplar,white,,400.0,20.0,0.8821614583333334,0.024228898523344266
same_source_exemplar,light-pink,,400.0,20.0,0.9029947916666667,0.02297698830161277
same_source_exemplar,pink,,400.0,20.0,0.8567708333333334,0.03006495633960543
same_source_exemplar,brown,,400.0,20.0,0.7877604166666666,0.02169332687550665
same_source_exemplar_mean,all,,400.0,20.0,0.857421875,0.01419008774020671
different_source,white,light-pink,400.0,20.0,0.9913194444444445,0.0019585974820061267
different_source,white,pink,400.0,20.0,1.0,0.0
different_source,pink,brown,400.0,20.0,1.0,0.0
same_source_exemplar,white,,400.0,40.0,0.703125,0.02066993211769211
same_source_exemplar,light-pink,,400.0,40.0,0.7454427083333334,0.03322500154660007
same_source_exemplar,pink,,400.0,40.0,0.7057291666666667,0.015406457768488577
same_source_exemplar,brown,,400.0,40.0,0.63671875,0.018772462982876076
same_source_exemplar_mean,all,,400.0,40.0,0.69775390625,0.012994522255349203
different_source,white,light-pink,400.0,40.0,0.9366319444444445,0.006929632246041339
different_source,white,pink,400.0,40.0,0.9995659722222222,0.0004340277777777809
different_source,pink,brown,400.0,40.0,1.0,0.0
same_source_exemplar,white,,800.0,10.0,0.9759114583333334,0.00817236058452889
same_source_exemplar,light-pink,,800.0,10.0,0.9635416666666667,0.00852413633734345
same_source_exemplar,pink,,800.0,10.0,0.9576822916666667,0.013221573883846876
same_source_exemplar,brown,,800.0,10.0,0.8776041666666667,0.024170098021995216
same_source_exemplar_mean,all,,800.0,10.0,0.9436848958333334,0.009953357660522803
different_source,white,light-pink,800.0,10.0,1.0,0.0
different_source,white,pink,800.0,10.0,1.0,0.0
different_source,pink,brown,800.0,10.0,1.0,0.0
same_source_exemplar,white,,800.0,20.0,0.8203125,0.02335468171982069
same_source_exemplar,light-pink,,800.0,20.0,0.822265625,0.014107810463187688
same_source_exemplar,pink,,800.0,20.0,0.8125,0.027978564995480897
same_source_exemplar,brown,,800.0,20.0,0.677734375,0.017032282420105772
same_source_exemplar_mean,all,,800.0,20.0,0.783203125,0.014920904435117408
different_source,white,light-pink,800.0,20.0,0.9978298611111112,0.0010051877527507103
different_source,white,pink,800.0,20.0,1.0,0.0
different_source,pink,brown,800.0,20.0,1.0,0.0
same_source_exemplar,white,,800.0,40.0,0.6731770833333334,0.027573088693762387
same_source_exemplar,light-pink,,800.0,40.0,0.634765625,0.019046247523747638
same_source_exemplar,pink,,800.0,40.0,0.6256510416666666,0.023134564647777838
same_source_exemplar,brown,,800.0,40.0,0.5540364583333333,0.010130820384864537
same_source_exemplar_mean,all,,800.0,40.0,0.6219075520833333,0.01261736148052354
different_source,white,light-pink,800.0,40.0,0.9461805555555555,0.004637842567839366
different_source,white,pink,800.0,40.0,1.0,0.0
different_source,pink,brown,800.0,40.0,1.0,0.0
same_source_exemplar,white,,1600.0,10.0,0.8958333333333334,0.028645833333333325
same_source_exemplar,light-pink,,1600.0,10.0,0.9134114583333334,0.014663414136233904
same_source_exemplar,pink,,1600.0,10.0,0.9095052083333333,0.018725634693816384
same_source_exemplar,brown,,1600.0,10.0,0.7682291666666667,0.03098536260773044
same_source_exemplar_mean,all,,1600.0,10.0,0.8717447916666667,0.01578129089365332
different_source,white,light-pink,1600.0,10.0,1.0,0.0
different_source,white,pink,1600.0,10.0,1.0,0.0
different_source,pink,brown,1600.0,10.0,1.0,0.0
same_source_exemplar,white,,1600.0,20.0,0.7115885416666667,0.013671874999999995
same_source_exemplar,light-pink,,1600.0,20.0,0.7513020833333333,0.017628001879759866
same_source_exemplar,pink,,1600.0,20.0,0.74609375,0.028827044531199688
same_source_exemplar,brown,,1600.0,20.0,0.62890625,0.02004531812283939
same_source_exemplar_mean,all,,1600.0,20.0,0.70947265625,0.013228630821816417
different_source,white,light-pink,1600.0,20.0,0.9982638888888888,0.0007402802651236527
different_source,white,pink,1600.0,20.0,1.0,0.0
different_source,pink,brown,1600.0,20.0,1.0,0.0
same_source_exemplar,white,,1600.0,40.0,0.5891927083333334,0.024753041060840843
same_source_exemplar,light-pink,,1600.0,40.0,0.5983072916666667,0.022775826601349775
same_source_exemplar,pink,,1600.0,40.0,0.6197916666666667,0.017853267188544384
same_source_exemplar,brown,,1600.0,40.0,0.5397135416666667,0.0188288247828199
same_source_exemplar_mean,all,,1600.0,40.0,0.5867513020833334,0.011386439208952706
different_source,white,light-pink,1600.0,40.0,0.94140625,0.004628601987693454
different_source,white,pink,1600.0,40.0,1.0,0.0
different_source,pink,brown,1600.0,40.0,1.0,0.0
