duration_ms,readout_noise_sd,accuracy_mean,accuracy_sem,clean_distance_mean,clean_distance_sem
25.0,0.0,1.0,0.0,69.30873092985235,2.8278884438585146
25.0,10.0,1.0,0.0,69.30873092985235,2.8278884438585146
25.0,20.0,1.0,0.0,69.30873092985235,2.8278884438585146
25.0,40.0,0.99609375,0.00130208333333333,69.30873092985235,2.8278884438585146
50.0,0.0,1.0,0.0,46.75763893143111,2.8064838600605513
50.0,10.0,1.0,0.0,46.75763893143111,2.8064838600605513
50.0,20.0,0.9973958333333334,0.0021740810154602104,46.75763893143111,2.8064838600605513
50.0,40.0,0.9691840277777777,0.00796769086401294,46.75763893143111,2.8064838600605513
100.0,0.0,1.0,0.0,31.41584070082597,1.7817242175214438
100.0,10.0,0.9991319444444443,0.0005852429361660128,31.41584070082597,1.7817242175214438
100.0,20.0,0.9887152777777778,0.004292668172019937,31.41584070082597,1.7817242175214438
100.0,40.0,0.9110243055555555,0.017562651992534407,31.41584070082597,1.7817242175214438
200.0,0.0,1.0,0.0,21.663680647891564,1.3265408120428566
200.0,10.0,0.9956597222222222,0.002630339853614103,21.663680647891564,1.3265408120428566
200.0,20.0,0.9548611111111108,0.013033979054332432,21.663680647891564,1.3265408120428566
200.0,40.0,0.7825520833333334,0.01867053385167676,21.663680647891564,1.3265408120428566
400.0,0.0,1.0,0.0,15.892171585513404,0.8960576007899118
400.0,10.0,0.9878472222222223,0.005299600186357581,15.892171585513404,0.8960576007899118
400.0,20.0,0.8919270833333331,0.017227925847401872,15.892171585513404,0.8960576007899118
400.0,40.0,0.7122395833333334,0.0145223998700304,15.892171585513404,0.8960576007899118
800.0,0.0,1.0,0.0,11.038755312868764,0.5207617432835567
800.0,10.0,0.9561631944444445,0.006425690268893144,11.038755312868764,0.5207617432835567
800.0,20.0,0.8116319444444445,0.010511588764386253,11.038755312868764,0.5207617432835567
800.0,40.0,0.6341145833333334,0.01665784814444053,11.038755312868764,0.5207617432835567
1600.0,0.0,1.0,0.0,8.183806906458157,0.5010933086624783
1600.0,10.0,0.8802083333333335,0.021957141952039665,8.183806906458157,0.5010933086624783
1600.0,20.0,0.72265625,0.020676145088501123,8.183806906458157,0.5010933086624783
1600.0,40.0,0.5980902777777778,0.011266496548595639,8.183806906458157,0.5010933086624783
